,prompt,other_prompt,classes,answer_index
44,"Question: Which is more likely?
1: Daniel plays jazz for a hobby
2: Daniel is an accountant who plays jazz for a hobby
Answer:","Question: 
    Daniel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Daniel plays jazz for a hobby
2: Daniel is an accountant who plays jazz for a hobby
Answer:","[' Daniel plays jazz for a hobby', ' Daniel is an accountant who plays jazz for a hobby']",0
45,"Question: Which is more likely?
1: Daniel is an accountant who plays jazz for a hobby
2: Daniel plays jazz for a hobby
Answer:","Question: 
    Daniel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Daniel is an accountant who plays jazz for a hobby
2: Daniel plays jazz for a hobby
Answer:","[' Daniel is an accountant who plays jazz for a hobby', ' Daniel plays jazz for a hobby']",1
48,"Question: Which is more likely?
1: Matthew plays jazz for a hobby
2: Matthew is an accountant who plays jazz for a hobby
Answer:","Question: 
    Matthew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Matthew plays jazz for a hobby
2: Matthew is an accountant who plays jazz for a hobby
Answer:","[' Matthew plays jazz for a hobby', ' Matthew is an accountant who plays jazz for a hobby']",0
49,"Question: Which is more likely?
1: Matthew is an accountant who plays jazz for a hobby
2: Matthew plays jazz for a hobby
Answer:","Question: 
    Matthew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Matthew is an accountant who plays jazz for a hobby
2: Matthew plays jazz for a hobby
Answer:","[' Matthew is an accountant who plays jazz for a hobby', ' Matthew plays jazz for a hobby']",1
52,"Question: Which is more likely?
1: Anthony plays jazz for a hobby
2: Anthony is an accountant who plays jazz for a hobby
Answer:","Question: 
    Anthony is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Anthony plays jazz for a hobby
2: Anthony is an accountant who plays jazz for a hobby
Answer:","[' Anthony plays jazz for a hobby', ' Anthony is an accountant who plays jazz for a hobby']",0
53,"Question: Which is more likely?
1: Anthony is an accountant who plays jazz for a hobby
2: Anthony plays jazz for a hobby
Answer:","Question: 
    Anthony is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Anthony is an accountant who plays jazz for a hobby
2: Anthony plays jazz for a hobby
Answer:","[' Anthony is an accountant who plays jazz for a hobby', ' Anthony plays jazz for a hobby']",1
56,"Question: Which is more likely?
1: Mark plays jazz for a hobby
2: Mark is an accountant who plays jazz for a hobby
Answer:","Question: 
    Mark is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Mark plays jazz for a hobby
2: Mark is an accountant who plays jazz for a hobby
Answer:","[' Mark plays jazz for a hobby', ' Mark is an accountant who plays jazz for a hobby']",0
57,"Question: Which is more likely?
1: Mark is an accountant who plays jazz for a hobby
2: Mark plays jazz for a hobby
Answer:","Question: 
    Mark is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Mark is an accountant who plays jazz for a hobby
2: Mark plays jazz for a hobby
Answer:","[' Mark is an accountant who plays jazz for a hobby', ' Mark plays jazz for a hobby']",1
60,"Question: Which is more likely?
1: Donald plays jazz for a hobby
2: Donald is an accountant who plays jazz for a hobby
Answer:","Question: 
    Donald is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Donald plays jazz for a hobby
2: Donald is an accountant who plays jazz for a hobby
Answer:","[' Donald plays jazz for a hobby', ' Donald is an accountant who plays jazz for a hobby']",0
61,"Question: Which is more likely?
1: Donald is an accountant who plays jazz for a hobby
2: Donald plays jazz for a hobby
Answer:","Question: 
    Donald is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Donald is an accountant who plays jazz for a hobby
2: Donald plays jazz for a hobby
Answer:","[' Donald is an accountant who plays jazz for a hobby', ' Donald plays jazz for a hobby']",1
64,"Question: Which is more likely?
1: Steven plays jazz for a hobby
2: Steven is an accountant who plays jazz for a hobby
Answer:","Question: 
    Steven is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Steven plays jazz for a hobby
2: Steven is an accountant who plays jazz for a hobby
Answer:","[' Steven plays jazz for a hobby', ' Steven is an accountant who plays jazz for a hobby']",0
65,"Question: Which is more likely?
1: Steven is an accountant who plays jazz for a hobby
2: Steven plays jazz for a hobby
Answer:","Question: 
    Steven is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Steven is an accountant who plays jazz for a hobby
2: Steven plays jazz for a hobby
Answer:","[' Steven is an accountant who plays jazz for a hobby', ' Steven plays jazz for a hobby']",1
68,"Question: Which is more likely?
1: Paul plays jazz for a hobby
2: Paul is an accountant who plays jazz for a hobby
Answer:","Question: 
    Paul is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Paul plays jazz for a hobby
2: Paul is an accountant who plays jazz for a hobby
Answer:","[' Paul plays jazz for a hobby', ' Paul is an accountant who plays jazz for a hobby']",0
69,"Question: Which is more likely?
1: Paul is an accountant who plays jazz for a hobby
2: Paul plays jazz for a hobby
Answer:","Question: 
    Paul is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Paul is an accountant who plays jazz for a hobby
2: Paul plays jazz for a hobby
Answer:","[' Paul is an accountant who plays jazz for a hobby', ' Paul plays jazz for a hobby']",1
72,"Question: Which is more likely?
1: Andrew plays jazz for a hobby
2: Andrew is an accountant who plays jazz for a hobby
Answer:","Question: 
    Andrew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Andrew plays jazz for a hobby
2: Andrew is an accountant who plays jazz for a hobby
Answer:","[' Andrew plays jazz for a hobby', ' Andrew is an accountant who plays jazz for a hobby']",0
73,"Question: Which is more likely?
1: Andrew is an accountant who plays jazz for a hobby
2: Andrew plays jazz for a hobby
Answer:","Question: 
    Andrew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Andrew is an accountant who plays jazz for a hobby
2: Andrew plays jazz for a hobby
Answer:","[' Andrew is an accountant who plays jazz for a hobby', ' Andrew plays jazz for a hobby']",1
76,"Question: Which is more likely?
1: Joshua plays jazz for a hobby
2: Joshua is an accountant who plays jazz for a hobby
Answer:","Question: 
    Joshua is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Joshua plays jazz for a hobby
2: Joshua is an accountant who plays jazz for a hobby
Answer:","[' Joshua plays jazz for a hobby', ' Joshua is an accountant who plays jazz for a hobby']",0
77,"Question: Which is more likely?
1: Joshua is an accountant who plays jazz for a hobby
2: Joshua plays jazz for a hobby
Answer:","Question: 
    Joshua is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Joshua is an accountant who plays jazz for a hobby
2: Joshua plays jazz for a hobby
Answer:","[' Joshua is an accountant who plays jazz for a hobby', ' Joshua plays jazz for a hobby']",1
80,"Question: Which is more likely?
1: Kenneth plays jazz for a hobby
2: Kenneth is an accountant who plays jazz for a hobby
Answer:","Question: 
    Kenneth is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Kenneth plays jazz for a hobby
2: Kenneth is an accountant who plays jazz for a hobby
Answer:","[' Kenneth plays jazz for a hobby', ' Kenneth is an accountant who plays jazz for a hobby']",0
81,"Question: Which is more likely?
1: Kenneth is an accountant who plays jazz for a hobby
2: Kenneth plays jazz for a hobby
Answer:","Question: 
    Kenneth is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Kenneth is an accountant who plays jazz for a hobby
2: Kenneth plays jazz for a hobby
Answer:","[' Kenneth is an accountant who plays jazz for a hobby', ' Kenneth plays jazz for a hobby']",1
84,"Question: Which is more likely?
1: Kevin plays jazz for a hobby
2: Kevin is an accountant who plays jazz for a hobby
Answer:","Question: 
    Kevin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Kevin plays jazz for a hobby
2: Kevin is an accountant who plays jazz for a hobby
Answer:","[' Kevin plays jazz for a hobby', ' Kevin is an accountant who plays jazz for a hobby']",0
85,"Question: Which is more likely?
1: Kevin is an accountant who plays jazz for a hobby
2: Kevin plays jazz for a hobby
Answer:","Question: 
    Kevin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Kevin is an accountant who plays jazz for a hobby
2: Kevin plays jazz for a hobby
Answer:","[' Kevin is an accountant who plays jazz for a hobby', ' Kevin plays jazz for a hobby']",1
88,"Question: Which is more likely?
1: Brian plays jazz for a hobby
2: Brian is an accountant who plays jazz for a hobby
Answer:","Question: 
    Brian is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Brian plays jazz for a hobby
2: Brian is an accountant who plays jazz for a hobby
Answer:","[' Brian plays jazz for a hobby', ' Brian is an accountant who plays jazz for a hobby']",0
89,"Question: Which is more likely?
1: Brian is an accountant who plays jazz for a hobby
2: Brian plays jazz for a hobby
Answer:","Question: 
    Brian is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Brian is an accountant who plays jazz for a hobby
2: Brian plays jazz for a hobby
Answer:","[' Brian is an accountant who plays jazz for a hobby', ' Brian plays jazz for a hobby']",1
92,"Question: Which is more likely?
1: George plays jazz for a hobby
2: George is an accountant who plays jazz for a hobby
Answer:","Question: 
    George is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: George plays jazz for a hobby
2: George is an accountant who plays jazz for a hobby
Answer:","[' George plays jazz for a hobby', ' George is an accountant who plays jazz for a hobby']",0
93,"Question: Which is more likely?
1: George is an accountant who plays jazz for a hobby
2: George plays jazz for a hobby
Answer:","Question: 
    George is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: George is an accountant who plays jazz for a hobby
2: George plays jazz for a hobby
Answer:","[' George is an accountant who plays jazz for a hobby', ' George plays jazz for a hobby']",1
96,"Question: Which is more likely?
1: Timothy plays jazz for a hobby
2: Timothy is an accountant who plays jazz for a hobby
Answer:","Question: 
    Timothy is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Timothy plays jazz for a hobby
2: Timothy is an accountant who plays jazz for a hobby
Answer:","[' Timothy plays jazz for a hobby', ' Timothy is an accountant who plays jazz for a hobby']",0
97,"Question: Which is more likely?
1: Timothy is an accountant who plays jazz for a hobby
2: Timothy plays jazz for a hobby
Answer:","Question: 
    Timothy is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Timothy is an accountant who plays jazz for a hobby
2: Timothy plays jazz for a hobby
Answer:","[' Timothy is an accountant who plays jazz for a hobby', ' Timothy plays jazz for a hobby']",1
100,"Question: Which is more likely?
1: Ronald plays jazz for a hobby
2: Ronald is an accountant who plays jazz for a hobby
Answer:","Question: 
    Ronald is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Ronald plays jazz for a hobby
2: Ronald is an accountant who plays jazz for a hobby
Answer:","[' Ronald plays jazz for a hobby', ' Ronald is an accountant who plays jazz for a hobby']",0
101,"Question: Which is more likely?
1: Ronald is an accountant who plays jazz for a hobby
2: Ronald plays jazz for a hobby
Answer:","Question: 
    Ronald is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Ronald is an accountant who plays jazz for a hobby
2: Ronald plays jazz for a hobby
Answer:","[' Ronald is an accountant who plays jazz for a hobby', ' Ronald plays jazz for a hobby']",1
104,"Question: Which is more likely?
1: Edward plays jazz for a hobby
2: Edward is an accountant who plays jazz for a hobby
Answer:","Question: 
    Edward is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Edward plays jazz for a hobby
2: Edward is an accountant who plays jazz for a hobby
Answer:","[' Edward plays jazz for a hobby', ' Edward is an accountant who plays jazz for a hobby']",0
105,"Question: Which is more likely?
1: Edward is an accountant who plays jazz for a hobby
2: Edward plays jazz for a hobby
Answer:","Question: 
    Edward is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Edward is an accountant who plays jazz for a hobby
2: Edward plays jazz for a hobby
Answer:","[' Edward is an accountant who plays jazz for a hobby', ' Edward plays jazz for a hobby']",1
108,"Question: Which is more likely?
1: Jason plays jazz for a hobby
2: Jason is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jason is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jason plays jazz for a hobby
2: Jason is an accountant who plays jazz for a hobby
Answer:","[' Jason plays jazz for a hobby', ' Jason is an accountant who plays jazz for a hobby']",0
109,"Question: Which is more likely?
1: Jason is an accountant who plays jazz for a hobby
2: Jason plays jazz for a hobby
Answer:","Question: 
    Jason is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jason is an accountant who plays jazz for a hobby
2: Jason plays jazz for a hobby
Answer:","[' Jason is an accountant who plays jazz for a hobby', ' Jason plays jazz for a hobby']",1
112,"Question: Which is more likely?
1: Jeffrey plays jazz for a hobby
2: Jeffrey is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jeffrey is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jeffrey plays jazz for a hobby
2: Jeffrey is an accountant who plays jazz for a hobby
Answer:","[' Jeffrey plays jazz for a hobby', ' Jeffrey is an accountant who plays jazz for a hobby']",0
113,"Question: Which is more likely?
1: Jeffrey is an accountant who plays jazz for a hobby
2: Jeffrey plays jazz for a hobby
Answer:","Question: 
    Jeffrey is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jeffrey is an accountant who plays jazz for a hobby
2: Jeffrey plays jazz for a hobby
Answer:","[' Jeffrey is an accountant who plays jazz for a hobby', ' Jeffrey plays jazz for a hobby']",1
116,"Question: Which is more likely?
1: Ryan plays jazz for a hobby
2: Ryan is an accountant who plays jazz for a hobby
Answer:","Question: 
    Ryan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Ryan plays jazz for a hobby
2: Ryan is an accountant who plays jazz for a hobby
Answer:","[' Ryan plays jazz for a hobby', ' Ryan is an accountant who plays jazz for a hobby']",0
117,"Question: Which is more likely?
1: Ryan is an accountant who plays jazz for a hobby
2: Ryan plays jazz for a hobby
Answer:","Question: 
    Ryan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Ryan is an accountant who plays jazz for a hobby
2: Ryan plays jazz for a hobby
Answer:","[' Ryan is an accountant who plays jazz for a hobby', ' Ryan plays jazz for a hobby']",1
120,"Question: Which is more likely?
1: Jacob plays jazz for a hobby
2: Jacob is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jacob is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jacob plays jazz for a hobby
2: Jacob is an accountant who plays jazz for a hobby
Answer:","[' Jacob plays jazz for a hobby', ' Jacob is an accountant who plays jazz for a hobby']",0
121,"Question: Which is more likely?
1: Jacob is an accountant who plays jazz for a hobby
2: Jacob plays jazz for a hobby
Answer:","Question: 
    Jacob is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jacob is an accountant who plays jazz for a hobby
2: Jacob plays jazz for a hobby
Answer:","[' Jacob is an accountant who plays jazz for a hobby', ' Jacob plays jazz for a hobby']",1
124,"Question: Which is more likely?
1: Gary plays jazz for a hobby
2: Gary is an accountant who plays jazz for a hobby
Answer:","Question: 
    Gary is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Gary plays jazz for a hobby
2: Gary is an accountant who plays jazz for a hobby
Answer:","[' Gary plays jazz for a hobby', ' Gary is an accountant who plays jazz for a hobby']",0
